source,scope,coverage,format,reuse_status,url,notes,retrieved_at
Landeswahlleiter Berlin,admitted parties,All parties admitted for second votes after the 24 July Landeswahlausschuss decision,HTML,public facts with source attribution,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,Authoritative admission result for the 17-party roster,2026-07-25
Landeswahlleiter Berlin,admitted candidates,Every admitted direct and list candidate after publication,PDF and Amtsblatt,public facts with source attribution,https://www.berlin.de/wahlen/wahlen/berliner-wahlen-2026/wahlvorschlaege/artikel.1600254.php,Authoritative identity anchor but no candidate dataset yet,2026-07-22
Abgeordnetenhaus member directory,current incumbents,Biography election route constituency committees contact and disclosures,HTML,copyrighted prose and portraits,https://www.parlament-berlin.de/das-parlament/abgeordnete,Extract facts and link rather than copying profiles or photos,2026-07-22
PARDOK,current and historic parliamentary work,Documents protocols written questions authors and speakers,XML plus linked documents,official open data page,https://www.parlament-berlin.de/dokumente/open-data,Daily updates but person names need entity matching,2026-07-22
Abgeordnetenwatch API,current mandates and later election candidates,Identity mandate constituency list occupation education committees and selected votes,JSON API,CC0,https://www.abgeordnetenwatch.de/api,No Berlin 2026 election period as of retrieval and 30 requests per minute,2026-07-22
Abgeordnetenwatch website,candidates and incumbents,Public questions answers biographies and selected votes,HTML,link and summarize,https://www.abgeordnetenwatch.de/berlin,Questions and answers have no documented API,2026-07-22
StateParl,parliamentary speeches,Speaker-linked Berlin plenary speeches since 2000,search site and restricted API,mixed,https://stateparl.de/,Current API access is by request and public download ends in 2023,2026-07-22
Wikidata,established candidates,Identifiers occupation education party websites and external IDs,SPARQL and JSON,CC0,https://www.wikidata.org/wiki/Help:Data_access,Coverage is much weaker for first-time candidates,2026-07-22
Party and district sites,all candidates,Self-authored biography priorities programme and campaign material,HTML and PDF,no common licence,,Coverage and structure vary sharply by party,2026-07-22
Personal sites and brochures,individual candidates,Self-authored biography priorities and local claims,HTML print and PDF,copyrighted,,Summarize and cite and do not infer positions for omitted topics,2026-07-22
Media interviews,prominent candidates,Direct answers context controversies and fact checking,HTML audio and video,copyrighted,,Uneven coverage and frequent paywalls,2026-07-22
LinkedIn,individual candidates,Employment and education history,HTML,no automated collection,https://www.linkedin.com/legal/user-agreement,Manual verification only because scraping is prohibited,2026-07-22
